num,ticker,entry_dt,exit_dt,entry_price,exit_price,shares,pnl,pnl_pct,reason,tp_hit,hold_bars,capital_after
195,TGKA,2023-08-03 16:00,2023-08-04 15:00,0.01,0.01,1909000,-466.09,-2.1,SL,0,9,57499.0
196,LKOH,2023-08-04 13:00,2023-08-04 15:00,6244.62,6167.34,4,-333.94,-1.34,SL,0,2,82156.04
197,ROSN,2023-08-04 13:00,2023-08-04 15:00,537.35,530.5,32,-236.43,-1.37,SL,0,2,99123.53
198,T,2023-08-10 19:00,2023-08-11 11:00,3670.37,3673.3,8,139.96,0.48,SL,1,7,99263.49
199,MTLR,2023-08-11 11:00,2023-08-11 12:00,235.18,231.02,130,-571.58,-1.87,SL,0,1,98691.91
200,T,2023-08-11 13:00,2023-08-11 19:00,3752.88,3690.44,8,-529.27,-1.76,SL,0,6,98162.64
201,ROSN,2023-08-14 11:00,2023-08-14 17:00,556.51,556.95,58,133.83,0.41,SL,1,6,65210.03
202,NVTK,2023-08-14 11:00,2023-08-14 17:00,1690.97,1670.18,12,-269.68,-1.33,SL,0,6,85242.12
203,LKOH,2023-08-14 11:00,2023-08-14 17:00,6389.14,6310.08,2,-170.81,-1.34,SL,0,6,97855.98
204,MGNT,2023-08-21 14:00,2023-08-21 17:00,5780.08,5784.7,2,121.64,1.05,SL,2,3,45032.26
205,NVTK,2023-08-21 11:00,2023-08-22 19:00,1670.17,1671.5,19,131.56,0.41,SL,1,23,63656.91
206,LKOH,2023-08-22 17:00,2023-08-23 11:00,6624.66,6523.85,2,-214.77,-1.62,SL,0,9,76698.09
207,GAZP,2023-08-21 11:00,2023-08-23 16:00,176.55,174.38,120,-281.56,-1.33,SL,0,35,97612.84
208,NLMK,2023-08-28 18:00,2023-08-28 19:00,200.94,198.47,100,-267.05,-1.33,SL,0,1,65639.58
209,TGKA,2023-08-29 15:00,2023-08-29 18:00,0.01,0.01,1692000,-714.43,-3.3,SL,0,3,51520.1
210,LKOH,2023-08-29 16:00,2023-08-29 19:00,6699.17,6704.53,2,55.54,0.41,SL,1,3,64980.68
211,SBER,2023-08-28 12:00,2023-08-30 16:00,264.09,264.3,120,131.4,0.41,SL,1,34,76272.47
212,ROSN,2023-09-04 11:00,2023-09-05 11:00,567.01,567.46,44,103.46,0.41,SL,1,15,60259.87
213,SBER,2023-09-04 13:00,2023-09-05 12:00,268.47,265.17,60,-214.08,-1.33,SL,0,14,57955.93
214,GAZP,2023-09-05 11:00,2023-09-05 12:00,181.97,179.72,100,-242.83,-1.33,SL,0,1,75919.02
215,LKOH,2023-08-30 11:00,2023-09-06 14:00,6845.18,6850.66,3,85.14,0.41,SL,1,78,96549.99
216,SBER,2023-09-29 12:00,2023-10-02 16:00,261.99,258.76,120,-417.82,-1.33,SL,0,19,75790.47
217,LKOH,2023-10-02 12:00,2023-10-02 17:00,6777.18,6694.83,3,-267.25,-1.31,SL,0,5,95864.92
218,NLMK,2023-10-04 17:00,2023-10-04 19:00,214.42,211.77,100,-286.95,-1.34,SL,0,2,65382.86
219,MTLR,2023-10-04 17:00,2023-10-05 20:00,215.57,215.74,140,125.14,0.41,SL,1,18,95703.11
220,NVTK,2023-10-09 14:00,2023-10-10 09:00,1737.77,1739.16,8,57.64,0.41,SL,1,10,44256.67
221,SBER,2023-10-09 11:00,2023-10-10 19:00,265.22,261.97,80,-281.19,-1.32,SL,0,23,53970.67
